Député·e,Groupe,Circo,Source,Rôle,Date,Référence,Thèmes,Extrait
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-13,AMANR5L17PO59048B0324P1D1N000906,Infrastructure éolienne,"Par cet amendement, le groupe LFI-NFP propose de conditionner à des engagements climatiques le crédit d’impôt au titre des investissements dans l’industrie verte (C3IV) créé dans la loi de finances pour 2024 pour les grandes entreprises.Conçu, assez naïvement, comme une aide sectorielle pour faire d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-13,AMANR5L17PO59048B0324P1D1N001075,Réglementation & projets,"Cet amendement vise à mettre en place une taxe kilométrique pour intégrer le coût écologique dans les produits importés, conformément au programme du Nouveau Front Populaire.Le grand déménagement permanent du monde engendre des coûts très importants. La pollution de l'air à elle seule génère des coû"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-13,AMANR5L17PO59048B0324P1D1N000863,Infrastructure éolienne,"Faute de taxer de manière adéquate les superprofits, cet amendement de repli du groupe LFI-NFP prévoit de reconduire et de renforcer la contribution sur la rente inframarginale de la production d’électricité, en supprimant notamment les mécanismes d’abattements excessifs mis en place sous les gouver"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO419865B0324P2D1N000097,Réglementation & projets,"Par cet amendement d'appel, les député.es LFI-NFP dénoncer les grands projets autoroutiers défendus par le Gouvernement. Ces grands projets vont à l'encontre de l'urgence écologique.La construction de l’autoroute A69 Toulouse – Castres est un exemple symptomatique de ces grands projets autoroutiers "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO419865B0324P2D1N000147,Infrastructure éolienne,"Avec cet amendement, les député.es du groupe parlementaire LFI-NFP proposent de créer un fonds pour la souveraineté dans le pilotage de la transition énergétique. Les moyens alloués à ce fonds devront permettre l’entrée de l’Etat au capital de TotalEnergies et General Electrics, ainsi que l’augmenta"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO838901B0324P1D1N002315,Infrastructure éolienne,"Par cet amendement, le groupe LFI-NFP propose de conditionner à des engagements climatiques le crédit d’impôt au titre des investissements dans l’industrie verte (C3IV) créé dans la loi de finances pour 2024 pour les grandes entreprises.Conçu, assez naïvement, comme une aide sectorielle pour faire d"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO419865B0324P2D1N000120,Réglementation & projets,"Avec cet amendement, les député.es du groupe parlementaire LFI-NFP souhaitent augmenter les effectifs des inspecteurs des installations classées pour protection de l'environnement.Les services d’inspection des ICPE connaissent un manque structurel de moyens humains pour assurer leurs missions de con"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO838901B0324P1D1N002180,Infrastructure éolienne,"Faute de taxer de manière adéquate les superprofits, cet amendement de repli du groupe LFI-NFP prévoit de reconduire et de renforcer la contribution sur la rente inframarginale de la production d'électricité, en supprimant notamment les mécanismes d’abattements excessifs mis en place sous les gouver"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO59047B0324P2D1N000042,Réglementation & projets,"Par cet amendement, le groupe LFI-NFP souhaite augmenter considérablement la qualité des services consulaires offerts aux français de l’Etranger, en créant 100 ETPT dédiés aux affaires consulaires dans les postes diplomatiques.Les moyens humains déployés dans les ambassades et les postes consulaires"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO838901B0324P1D1N002340,Réglementation & projets,"Cet amendement vise à mettre en place une taxe kilométrique pour intégrer le coût écologique dans les produits importés, conformément au programme du Nouveau Front Populaire.Le grand déménagement permanent du monde engendre des coûts très importants. La pollution de l'air à elle seule génère des coû"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-18,AMANR5L17PO838901B0324P1D1N002348,Réglementation & projets,"Cet amendement des députés LFI-NFP vise à fixer des niveaux de taxe sur l'aviation d'affaire cohérent avec les engagements pris par la France de réduire ses émissions de gaz à effet de serre dans le cadre des Accords de Paris, qui dégageront une recette essentielle pour améliorer l'offre de transpor"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-23,AMANR5L17PO419610B0324P2D1N000224,Infrastructure éolienne,"Avec cet amendement, les député.es du groupe parlementaire LFI-NFP proposent de créer un fonds pour la souveraineté dans le pilotage de la transition énergétique. Les moyens alloués à ce fonds devront permettre l’entrée de l’Etat au capital de TotalEnergies et General Electrics, ainsi que l’augmenta"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-23,AMANR5L17PO59048B0324P2D1N000534,Infrastructure éolienne,"Avec cet amendement, les député.es du groupe parlementaire LFI-NFP proposent de créer un fonds pour la souveraineté dans le pilotage de la transition énergétique. Les moyens alloués à ce fonds devront permettre l’entrée de l’Etat au capital de TotalEnergies et General Electrics, ainsi que l’augmenta"
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-23,AMANR5L17PO59048B0324P2D1N000424,Réglementation & projets,"Par cet amendement d'appel, les député.es LFI-NFP dénoncer les grands projets autoroutiers défendus par le Gouvernement. Ces grands projets vont à l'encontre de l'urgence écologique.La construction de l’autoroute A69 Toulouse – Castres est un exemple symptomatique de ces grands projets autoroutiers "
Zahia Hamdane,LFI-NFP,2e,Amendement,Cosignataire,2024-10-23,AMANR5L17PO59048B0324P2D1N000552,Réglementation & projets,"Avec cet amendement, les député.es du groupe parlementaire LFI-NFP souhaitent augmenter les effectifs des inspecteurs des installations classées pour protection de l'environnement.Les services d’inspection des ICPE connaissent un manque structurel de moyens humains pour assurer leurs missions de con"
